"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"6136",12040190,2240.95454,3,"CX","Al","MO",19956.68,4961700
"6137",12040199,1333.67532,3,"CX","Al","MO",25276.96,6801300
"6138",12040267,1199.11688,1,"CX","Al","LO",19515.72,524700
"6139",12041152,2652.79221,3,"CX","Al","MO",20734.54,5969700
"6140",12041179,529.70563,2,"CX","Al","LO",22795.13,3350700
"6141",12041242,187.27922,2,"CX","Al","LO",24552.55,571500
"6142",12041401,2884.62987,2,"CX","Al","LO",15779.03,7950600
"6143",12041607,1379.11688,1,"CX","Al","LO",3409.188,971100
"6144",12041683,247.27922,1,"CX","Al","LO",1736.102,549000
"6145",12041702,861.83766,3,"CX","Al","MO",11995.28,9202500
"6146",12041792,454.26407,1,"CX","Al","LO",13631.09,477900
"6147",12041924,591.83766,5,"CX","Al","HO",8377.128,182983504
"6148",12041993,1446.3961,1,"CX","Al","LO",11187.2,1058400
"6149",12042036,724.26407,2,"CX","Al","LO",7420.509,4016700
"6150",12042092,1213.67532,3,"CX","Al","MO",10629.62,13131900
"6151",12042122,669.41125,1,"CX","Al","LO",669.4113,648000
"6152",12042168,459.41125,1,"CX","Al","LO",459.4113,390499.03
"6153",12042253,1305.80736,3,"CX","Al","MO",1480.66,6642866
"6154",12042254,1363.67532,4,"CX","Al","MO",1538.528,27603000
"6155",12042365,1808.52814,3,"CX","Al","MO",3594.335,16955100
"6156",12042481,3684.3355,2,"CX","Al","LO",7243.524,4384800
"6157",12042605,754.26407,3,"CX","Al","MO",4608.306,13179600
"6158",12042662,3721.61472,2,"CX","Al","LO",8329.92,10102500
"6159",12042663,2392.20346,2,"CX","Al","LO",7000.509,2526300
"6160",12042706,4612.20346,2,"CX","Al","LO",20171.97,3159000
"6161",12042708,1746.3961,4,"CX","Al","MO",17348.59,17427600
"6162",12042751,2839.70563,1,"CX","Al","LO",18878.59,493200
"6163",12043007,1178.52814,1,"CX","Al","LO",36948.27,796500
"6164",12043971,302.13203,3,"CX","Al","MO",15651.38,4664700
"6165",12045084,3447.35065,2,"CX","HS","LO",26611.16,4569300
"6166",12045119,1508.52814,1,"CX","Al","LO",24863.88,1245600
"6167",12045453,1848.82251,1,"CX","Al","LO",21455.42,1932300
"6168",12045576,969.41125,2,"CX","Al","LO",27361.37,1848600
"6169",12045603,1193.9697,3,"CX","Al","MO",20800.57,9060300
"6170",12046108,711.83766,3,"CX","Al","MO",826.6904,18450000
"6171",12046138,719.11688,3,"CX","Al","MO",719.1169,36584980
"6172",12046178,679.70563,1,"CX","Al","LO",1398.823,624600
"6173",12046185,509.11688,1,"CX","Al","LO",8599.92,643500
"6174",12046276,464.55844,2,"CX","SS","LO",2747.056,3391200
"6175",12046304,1379.11688,2,"CX","SS","LO",4715.878,2000700
